LOC,CYCLO,LENGTH,VOLUME,DIFFICULTY,INT_FAN_IN,INT_FAN_OUT,NUM_OPERATORS,NUM_OPERANDS,BRANCH_COUNT,DEFECT_LABEL
0.779238754,0.47826087,0.274048443,0.544917975,0.564121158,0.222222222,0.444444444,0.736196319,0.807377049,0.642857143,0
0.595155709,0.608695652,0.742560554,0.758596645,0.450648872,0.222222222,0,0.576687117,0.200819672,0.142857143,0
0.89550173,0,0.96816609,0.754277257,0.672995806,1,0,0.116564417,0.020491803,0,1
0.78200692,0.565217391,0.164705882,0.017765711,0.584106002,0,1,0.615541922,0.481557377,0.5,0
0.757785467,0.217391304,0.560899654,0.126125242,0.526050058,0.555555556,0.222222222,0.656441718,0.655737705,0.857142857,1
0.722491349,0.173913043,0.324567474,0.659754083,0.248598613,0.111111111,1,0.049079755,0.524590164,0.642857143,0
0.083737024,0.434782609,0.181314879,0.161508063,0,0,0.222222222,0.147239264,0.81352459,0.642857143,0
0.322491349,0.130434783,0.823529412,0.255426169,0.172822834,0.111111111,0.777777778,0.760736196,0.829918033,0.071428571,0
0.856747405,0.52173913,0,0.946898949,0.11555547,0.555555556,0.888888889,0.838445808,0.842213115,0,0
0.228373702,0.434782609,0.129065744,0.560259756,0.449040071,0.333333333,0,0.261758691,0.68647541,0.928571429,1
0.060207612,0.086956522,0.809342561,0.75089748,0.612933904,0.555555556,0.111111111,0.175869121,0.979508197,0.5,1
0.966089965,0,0.997577855,0.558057191,0.211998371,0.888888889,1,0.672801636,0.272540984,0.428571429,1
0.77716263,0.217391304,0.190657439,0.552587471,0.9411757,1,0.111111111,0.869120654,0.450819672,0.428571429,0
0.602768166,0.739130435,0.81799308,0.094008126,0.004684202,1,0.333333333,0.889570552,0.31557377,0.214285714,0
0.089965398,1,0.52733564,0.343637882,0.773683374,0.777777778,0.111111111,0.310838446,0.286885246,0.714285714,0
0.921799308,0.391304348,0.640138408,0.282376514,0.625937683,0,0.666666667,0.370143149,0.87295082,0.571428571,1
0.532179931,0.173913043,0.131141869,0.390725403,0.373176654,0.777777778,0.888888889,0.253578732,0.319672131,0.357142857,0
0.237370242,0.956521739,0.569204152,0.79853477,0.048684429,0.888888889,0.666666667,0.134969325,0.948770492,0.071428571,0
0.994463668,0.391304348,0.004152249,0.37192078,0.62822956,0.555555556,0.555555556,0.010224949,0.848360656,0.928571429,0
0.557093426,0.47826087,0.173702422,0.451722805,0.385288607,1,1,0.253578732,0.663934426,0,0
0.266435986,0.043478261,0.787889273,0.397381586,0.938373426,0.444444444,0,0.6400818,0.756147541,0,0
0.84083045,0.52173913,0.694463668,0.093263835,0.542355587,0.555555556,1,0.664621677,0.700819672,0.571428571,0
0.660899654,0.304347826,0.044290657,0.441093099,0.94177274,0.555555556,0.888888889,0.106339468,0.532786885,0.214285714,1
0.19100346,0.043478261,0.289273356,0.195513663,0.219429722,0.888888889,0.444444444,0.132924335,0.575819672,0.285714286,1
0.819377163,0.826086957,0.705536332,0.186623467,0.726902635,0.333333333,0.444444444,0.6400818,0.68852459,0.142857143,0
0.317647059,0,0.00899654,0.093892266,0.617946809,0.111111111,0.555555556,0.165644172,0.700819672,0.214285714,0
0.925259516,0.173913043,0.730795848,0.35665184,0.740645364,0.888888889,0.888888889,0.175869121,0.465163934,0.785714286,0
0.014532872,0.347826087,0.432871972,0.757653064,0.213588215,0.111111111,0.777777778,0.00204499,0.766393443,0.5,1
0.174394464,0.695652174,0.089619377,0.276384462,0.665903106,1,0.777777778,0.415132924,0.569672131,0.857142857,1
0.516955017,0.347826087,0.707612457,0.312308923,0.498211863,0.888888889,0.777777778,0.304703476,0.729508197,0.214285714,1
0.592387543,0.434782609,0.50899654,0.642791324,0.744077194,0.111111111,0,0.597137014,0.590163934,0.571428571,1
0.328027682,0.608695652,0.500346021,0.195745313,0.32646115,0.777777778,0,0.824130879,0.340163934,0.571428571,0
0.748788927,1,0.158477509,0.897195336,0.891959289,0.888888889,0.777777778,0.208588957,0.092213115,0.357142857,1
0.352941176,0.217391304,0.103460208,0.520249031,0.082646084,1,0.444444444,0.047034765,0.944672131,0.071428571,0
0.483737024,0.956521739,0.807266436,0.447626982,0.808725713,0.888888889,0.888888889,0.750511247,0.411885246,0.785714286,0
0.674740484,0.086956522,0.217301038,0.557896568,0.863095011,1,0.111111111,0.431492843,0.43442623,0.642857143,1
0.130795848,0.695652174,0.092733564,0.165924661,0.818833135,0.888888889,0.888888889,0.130879346,0.5,0.714285714,0
0.662283737,0.173913043,0.912802768,0.613575939,0.512962704,0.111111111,0.777777778,0.916155419,0.045081967,0.428571429,0
0.474740484,0.47826087,0.689273356,0.363084655,0.438293065,0.333333333,0.888888889,0.425357873,0.653688525,0.571428571,0
0.662283737,0.739130435,0.562975779,0.897423855,0.998633457,0.666666667,0.333333333,0.511247444,0.557377049,0.357142857,0
0.388927336,0.565217391,0.62283737,0.168745893,0.228156339,0.111111111,0,0.785276074,0.086065574,0.142857143,1
0.876816609,0.869565217,1,0.507103373,0.54726305,0,0,0.237218814,0.676229508,0.928571429,0
0.575086505,1,0.297577855,0.598208137,0.671609197,0.222222222,0.444444444,0.235173824,0.637295082,1,0
0.798615917,0.434782609,0.442560554,0.033210964,0.701934609,0.333333333,0.111111111,0.482617587,0.739754098,0.428571429,0
0.447058824,0.347826087,0.753979239,0.363677325,0.202898026,0.777777778,0.777777778,0.975460123,0.31557377,0.285714286,0
0.01384083,0.043478261,0.622145329,0.732794616,0.654854114,0.555555556,1,0.212678937,0.995901639,0,0
0.581314879,0.47826087,0.589965398,0.820578551,0.819955323,0.111111111,0.444444444,0.527607362,0.774590164,0.142857143,0
0.114878893,0.086956522,0.885467128,0.313122202,0.048211984,0.888888889,0.444444444,0.09202454,0.403688525,0.285714286,0
0.897577855,0.086956522,0.816262976,0.798783972,0.913518324,0.111111111,0.111111111,0.63394683,0.829918033,0.428571429,1
0.267820069,0,0.198615917,0.968026899,0.027606889,0.444444444,0.666666667,0.674846626,0.956967213,0.142857143,1
0.415224913,0.304347826,0.692733564,0.857092309,0.355515252,0.333333333,0.777777778,0.439672802,0.327868852,0.357142857,0
0.21799308,0.913043478,0.451903114,0.117511359,0.013855583,0.666666667,1,0.959100204,0.805327869,0.285714286,0
0.00899654,0.304347826,0.676470588,0.739893082,0.075458343,0.777777778,0,0.914110429,0.959016393,0.857142857,0
0.166782007,0.434782609,0.94567474,0.319630128,0.913163757,0.444444444,0.111111111,0.613496933,0.475409836,0,1
0.537024221,0.347826087,0.698615917,0.988696821,0.354400148,1,1,0.836400818,0.329918033,0.642857143,0
0.947404844,0.173913043,0.765051903,0.485400953,0.424619511,0.444444444,0.333333333,0.678936605,0.233606557,0.357142857,1
0.390311419,0.565217391,0.81349481,0.122303544,0.214267719,0.111111111,0.444444444,0.916155419,0.18647541,0.928571429,1
0.620761246,0.086956522,0.572318339,0.725341392,0.59770458,0.777777778,0.111111111,0.047034765,0.081967213,0.5,1
0.943252595,0.869565217,0.546020761,0.322976082,0.595401902,0.111111111,0,0.934560327,0.577868852,0.857142857,1
0.062975779,0.173913043,0.638754325,0.997363101,0.371816265,1,0.888888889,0.069529652,0.772540984,0.857142857,0
0.961937716,0.173913043,0.761937716,0.98005919,0.332477825,0.555555556,0,0.047034765,0.426229508,0,0
0.660899654,0.782608696,0.480622837,0.656257075,0.886844087,0.777777778,0.333333333,0.055214724,0.418032787,0.071428571,1
0.351557093,0.565217391,0.602422145,0.129699604,0.382949049,0.555555556,0.111111111,0.987730061,0.950819672,0.928571429,0
0.53633218,0.130434783,0.665743945,0.686998645,0.49365242,0.333333333,0.333333333,0.946830266,0.446721311,1,0
0.023529412,0.52173913,0.21384083,0.09288617,0.282528152,0.333333333,0.777777778,0.99591002,0.569672131,0.214285714,0
0.141868512,0.391304348,0.440484429,0.029189613,0.788215742,0.555555556,0.777777778,0.030674847,0.274590164,0.785714286,0
0.764013841,0.739130435,0.330449827,0.823160715,0.397175502,0.333333333,0.888888889,0.118609407,0.213114754,0.071428571,1
0.976470588,0.304347826,0.670588235,0.209664054,0.513851262,0.777777778,0.444444444,0.948875256,0.237704918,0.714285714,0
0.709342561,0.304347826,0.823529412,0.379018607,0.252448338,0.888888889,0.666666667,0.494887526,0.481557377,0.571428571,0
0.706574394,0.260869565,0.334602076,0.973731119,0.989992781,0,0.222222222,0.893660532,0.629098361,0.642857143,1
0.977854671,0.304347826,0.884775087,0.336811952,0.290755295,0.333333333,1,0.421267894,0.930327869,0.5,1
0.39100346,0.565217391,0.455017301,0.296442072,0.772118009,0.333333333,0.333333333,0.81595092,0.790983607,0.5,0
0.781314879,0.782608696,0.360553633,0.918455495,0.427355658,0.111111111,1,0.552147239,0.969262295,0.214285714,0
0.485813149,0.217391304,0.096885813,0.110612542,0.205100446,0.555555556,0.888888889,0.507157464,0.200819672,0.285714286,0
0.277508651,0,0.983737024,0.759754587,0.801222175,0.222222222,1,0.983640082,0.530737705,0.214285714,0
0.50449827,0.956521739,0.749134948,0.988346232,0.333052268,0.666666667,1,0.54396728,0.981557377,0.857142857,0
0.111418685,0.608695652,0.365743945,0.901535476,0.866985835,0.444444444,0,0.392638037,0.620901639,0.571428571,0
